TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksD-backs‌‌‌,NL,92,3033,383,676,140,15,105,359,326,788,37,14,0.223,0.302,0.383,0.685,74,88,4.25,162,162,0,10,33,60,1430.0,1345,740,676,191,59,504,1216,1.29,0.247,False,False
Atlanta BravesBraves‌‌‌,NL,94,3205,446,796,174,6,147,427,271,877,54,17,0.248,0.313,0.444,0.757,101,61,3.46,162,162,1,9,55,83,1448.0,1224,609,556,148,62,500,1554,1.19,0.226,False,True
Baltimore OriolesOrioles‌‌‌,AL,92,3116,386,727,169,13,95,364,255,813,56,16,0.233,0.301,0.387,0.688,83,79,3.97,162,162,2,15,46,59,1433.1,1406,688,632,171,64,443,1214,1.29,0.256,False,False
Boston Red SoxRed Sox‌‌‌,AL,93,3216,430,823,210,7,91,409,271,763,36,10,0.256,0.318,0.41,0.728,78,84,4.53,162,162,5,10,39,67,1431.0,1411,787,721,185,72,526,1346,1.35,0.256,False,False
Chicago CubsCubs‌‌‌,NL,92,3124,386,761,155,19,88,362,307,822,63,20,0.244,0.319,0.39,0.709,74,88,4.0,162,162,0,11,44,75,1443.2,1342,731,642,207,73,540,1383,1.3,0.244,False,False
Chicago White SoxWhite Sox‌‌‌,AL,92,3216,406,825,160,6,80,385,221,720,36,4,0.257,0.311,0.385,0.696,81,81,3.92,162,162,2,14,48,71,1447.2,1330,717,631,166,51,533,1450,1.29,0.242,False,False
Cincinnati RedsReds‌‌‌,NL,91,3016,390,722,143,9,84,372,253,801,42,17,0.239,0.308,0.376,0.684,62,100,4.86,162,162,1,6,31,53,1423.1,1366,815,768,213,110,612,1414,1.39,0.251,False,False
Cleveland GuardiansGuardians‌‌‌,AL,90,3044,391,758,165,17,71,371,264,630,54,15,0.249,0.314,0.384,0.698,92,70,3.46,162,162,1,8,51,69,1456.0,1252,634,560,172,57,435,1390,1.16,0.23,False,True
Colorado RockiesRockies‌‌‌,NL,93,3190,427,837,165,22,85,406,276,718,25,13,0.262,0.325,0.408,0.733,68,94,5.06,162,162,1,6,43,64,1425.1,1516,873,802,184,59,539,1187,1.44,0.272,False,False
Detroit TigersTigers‌‌‌,AL,92,3014,288,690,123,16,53,275,221,774,25,14,0.229,0.286,0.333,0.619,66,96,4.04,162,162,0,8,38,56,1419.2,1336,713,637,167,57,511,1195,1.3,0.247,False,False
Houston AstrosAstros‌‌‌,AL,91,3015,403,721,148,8,128,394,326,685,45,15,0.239,0.318,0.421,0.739,106,56,2.9,162,162,3,18,53,69,1445.1,1121,518,465,134,60,458,1524,1.09,0.212,True,True
Kansas City RoyalsRoyals‌‌‌,AL,92,3101,359,755,142,23,76,342,271,706,54,19,0.243,0.307,0.378,0.685,65,97,4.7,162,162,0,9,33,54,1416.0,1493,810,740,173,71,589,1191,1.47,0.271,False,False
Los Angeles AngelsAngels‌‌‌,AL,92,3055,363,702,120,14,105,350,282,900,51,18,0.23,0.3,0.381,0.681,73,89,3.77,162,162,2,17,38,66,1435.2,1241,668,601,168,60,540,1383,1.24,0.23,False,False
Los Angeles DodgersDodgers‌‌‌,NL,90,3050,462,779,171,17,117,437,348,755,58,9,0.255,0.334,0.438,0.772,111,51,2.8,162,162,1,15,43,61,1451.1,1114,513,451,152,75,407,1465,1.05,0.209,False,True
Miami MarlinsMarlins‌‌‌,NL,91,3052,371,723,138,13,90,351,254,797,75,14,0.237,0.302,0.379,0.681,69,93,3.87,162,162,6,10,41,72,1437.1,1311,676,618,173,76,511,1437,1.27,0.242,False,False
Milwaukee BrewersBrewers‌‌‌,NL,93,3102,417,730,138,11,124,406,319,822,59,18,0.235,0.314,0.407,0.721,86,76,3.83,162,162,0,11,52,83,1446.0,1238,688,615,190,67,521,1530,1.22,0.229,False,False
Minnesota TwinsTwins‌‌‌,AL,94,3171,421,800,160,10,117,407,311,768,14,12,0.252,0.323,0.42,0.743,78,84,3.98,162,162,0,17,28,55,1437.0,1320,684,636,184,66,468,1336,1.24,0.242,False,False
New York MetsMets‌‌‌,NL,93,3156,437,796,146,17,92,416,287,710,33,16,0.252,0.324,0.397,0.721,101,61,3.57,162,162,0,19,41,56,1438.2,1274,606,570,169,71,428,1565,1.18,0.236,False,True
New York YankeesYankees‌‌‌,AL,92,3079,497,756,131,6,157,472,367,773,63,14,0.246,0.331,0.445,0.776,99,63,3.3,162,162,1,16,47,68,1451.2,1177,567,532,157,65,444,1459,1.12,0.219,False,True
Oakland AthleticsAthletics‌‌‌,AL,93,3040,306,641,141,7,70,283,226,785,54,15,0.211,0.272,0.331,0.603,60,102,4.52,162,162,0,7,34,59,1426.1,1394,770,717,195,72,503,1203,1.33,0.254,False,False
Philadelphia PhilliesPhillies‌‌‌,NL,92,3120,431,766,147,14,120,412,282,782,56,12,0.246,0.311,0.417,0.728,87,75,3.97,162,162,3,15,42,60,1428.1,1330,685,630,150,68,463,1423,1.26,0.245,False,True
Pittsburgh PiratesPirates‌‌‌,NL,93,3054,340,678,130,16,97,318,278,861,40,22,0.222,0.29,0.37,0.66,62,100,4.66,162,162,0,6,33,62,1421.0,1431,817,735,164,87,586,1250,1.42,0.258,False,False
San Diego PadresPadres‌‌‌,NL,94,3178,408,765,163,14,77,394,326,767,30,16,0.241,0.316,0.374,0.69,89,73,3.81,162,162,0,15,48,70,1443.1,1263,660,611,173,88,468,1451,1.2,0.232,False,True
San Francisco GiantsGiants‌‌‌,NL,91,3029,437,720,147,10,111,419,339,793,43,10,0.238,0.322,0.403,0.725,81,81,3.85,162,162,1,8,39,61,1433.0,1397,697,613,132,52,441,1370,1.28,0.253,False,False
Seattle MarinersMariners‌‌‌,AL,93,3108,385,735,146,11,103,368,336,800,50,18,0.236,0.319,0.39,0.709,90,72,3.59,162,162,0,10,40,55,1447.0,1277,623,577,186,56,447,1391,1.19,0.235,False,True
St. Louis CardinalsCardinals‌‌‌,NL,94,3196,431,802,158,15,99,411,295,733,62,15,0.251,0.32,0.403,0.723,93,69,3.79,162,162,3,17,37,54,1435.2,1335,637,605,146,60,489,1177,1.27,0.247,False,True
Tampa Bay RaysRays‌‌‌,AL,92,3088,388,742,164,11,86,367,274,809,59,25,0.24,0.307,0.384,0.691,86,76,3.41,162,162,0,10,44,80,1435.2,1260,614,544,172,66,384,1384,1.15,0.232,False,True
Texas RangersRangers‌‌‌,AL,90,3063,406,731,119,10,117,384,255,784,74,22,0.239,0.299,0.399,0.698,68,94,4.22,162,162,1,10,37,67,1435.0,1345,743,673,169,71,581,1314,1.34,0.247,False,False
Toronto Blue JaysBlue Jays‌‌‌,AL,93,3171,428,830,178,4,119,415,274,725,36,17,0.262,0.326,0.433,0.759,92,70,3.87,162,162,0,10,46,73,1441.1,1356,679,620,180,76,424,1390,1.23,0.247,False,True
Washington NationalsNationals‌‌‌,NL,94,3150,364,782,155,11,74,348,292,670,35,14,0.248,0.316,0.375,0.691,55,107,5.0,162,162,2,4,28,45,1411.2,1469,855,785,244,75,558,1220,1.44,0.266,False,False
